AllDates,PRC,Pseudo-PRC
2004-01-02,46.08,46.08
2004-01-05,46.22,46.22
2004-01-06,46.18,46.18
2004-01-07,46.67,46.67
2004-01-08,47.25,47.25
2004-01-09,47.15,47.15
2004-01-12,47.31,47.31
2004-01-13,46.7,46.7
2004-01-14,47.3,47.3
2004-01-15,46.55,46.55
2004-01-16,46.13,46.13
2004-01-20,46.33,46.33
2004-01-21,47.08,47.08
2004-01-22,46.6,46.6
2004-01-23,46.25,46.25
2004-01-26,47.05,47.05
2004-01-27,47.14,47.14
2004-01-28,46.29,46.29
2004-01-29,46.48,46.48
2004-01-30,46.24,46.24
2004-02-02,46.3,46.3
2004-02-03,46.6,46.6
2004-02-04,46.79,46.79
2004-02-05,46.37,46.37
2004-02-06,46.67,46.67
2004-02-09,46.92,46.92
2004-02-10,47.35,47.35
2004-02-11,47.5,47.5
2004-02-12,47.55,47.55
2004-02-13,47.52,47.52
2004-02-17,47.77,47.77
2004-02-18,47.6,47.6
2004-02-19,48.15,48.15
2004-02-20,48.07,48.07
2004-02-23,48.14,48.14
2004-02-24,48.05,48.05
2004-02-25,48.1,48.5
2004-02-26,48.09,48.49
2004-02-27,47.97,48.37
2004-03-01,48.66,49.06
2004-03-02,48.54,48.94
2004-03-03,48.85,49.26
2004-03-04,48.75,49.16
2004-03-05,48.74,49.15
2004-03-08,48.9,49.31
2004-03-09,48.85,49.26
2004-03-10,48.56,48.96
2004-03-11,47.75,48.15
2004-03-12,48.25,48.65
2004-03-15,47.48,47.87
2004-03-16,47.89,48.29
2004-03-17,47.93,48.33
2004-03-18,47.73,48.13
2004-03-19,46.95,47.34
2004-03-22,46.51,46.9
2004-03-23,46.42,46.81
2004-03-24,45.91,46.29
2004-03-25,46.21,46.59
2004-03-26,46,46.38
2004-03-29,46.67,47.06
2004-03-30,46.87,47.26
2004-03-31,47,47.39
2004-04-01,47.26,47.65
2004-04-02,46.42,46.81
2004-04-05,46.42,46.81
2004-04-06,46.65,47.04
2004-04-07,46.35,46.74
2004-04-08,46.27,46.65
2004-04-12,46.62,47.01
2004-04-13,45.72,46.1
2004-04-14,44.65,45.02
2004-04-15,44.16,44.53
2004-04-16,44.75,45.12
2004-04-19,44.65,45.02
2004-04-20,44.38,44.75
2004-04-21,45.28,45.66
2004-04-22,45.92,46.3
2004-04-23,45.94,46.32
2004-04-26,45.9,46.28
2004-04-27,46.25,46.63
2004-04-28,45.4,45.78
2004-04-29,45.63,46.01
2004-04-30,45.75,46.13
2004-05-03,46.48,46.87
2004-05-04,46.72,47.11
2004-05-05,46.45,46.84
2004-05-06,46.27,46.65
2004-05-07,44.9,45.27
2004-05-10,44.84,45.21
2004-05-11,45.05,45.42
2004-05-12,45.52,45.9
2004-05-13,45.59,45.97
