AllDates,PRC,Pseudo-PRC
2004-01-02,79.09,79.09
2004-01-05,79.32,79.32
2004-01-06,79.19,79.19
2004-01-07,79.01,79.01
2004-01-08,79.05,79.05
2004-01-09,78.35,78.35
2004-01-12,78.5,78.5
2004-01-13,78.3,78.3
2004-01-14,79.25,79.25
2004-01-15,78.68,78.68
2004-01-16,79.02,79.02
2004-01-20,80.07,80.07
2004-01-21,81.85,81.85
2004-01-22,81.7,81.7
2004-01-23,81.27,81.27
2004-01-26,82.24,82.24
2004-01-27,82,82
2004-01-28,80.5,80.5
2004-01-29,80.92,80.92
2004-01-30,81.46,81.46
2004-02-02,81.55,81.55
2004-02-03,81.51,81.51
2004-02-04,81.7,81.7
2004-02-05,82,82
2004-02-06,82.76,82.76
2004-02-09,81.68,81.68
2004-02-10,81.62,81.62
2004-02-11,81.99,81.99
2004-02-12,81.65,81.65
2004-02-13,81.57,81.57
2004-02-17,81.86,81.86
2004-02-18,81.57,81.57
2004-02-19,81.37,81.37
2004-02-20,81.34,81.34
2004-02-23,82,82
2004-02-24,81.45,81.45
2004-02-25,81.71,81.71
2004-02-26,82,82
2004-02-27,81.92,81.92
2004-03-01,82.13,82.13
2004-03-02,82.5,82.5
2004-03-03,82.62,83.42
2004-03-04,82.12,82.91
2004-03-05,82.74,83.54
2004-03-08,82.44,83.24
2004-03-09,81.77,82.56
2004-03-10,79.99,80.76
2004-03-11,79.55,80.32
2004-03-12,80.32,81.1
2004-03-15,79.39,80.16
2004-03-16,80.11,80.89
2004-03-17,80.45,81.23
2004-03-18,80.08,80.86
2004-03-19,79.85,80.62
2004-03-22,78.73,79.49
2004-03-23,78.53,79.29
2004-03-24,78.31,79.07
2004-03-25,79.74,80.51
2004-03-26,80.1,80.88
2004-03-29,81.04,81.82
2004-03-30,81.77,82.56
2004-03-31,80.98,81.76
2004-04-01,81.47,82.26
2004-04-02,80.51,81.29
2004-04-05,81.25,82.04
2004-04-06,82,82.79
2004-04-07,81.45,82.24
2004-04-08,81.05,81.83
2004-04-12,81.97,82.76
2004-04-13,80.5,81.28
2004-04-14,80.09,80.87
2004-04-15,80.28,81.06
2004-04-16,80.78,81.56
2004-04-19,81.16,81.95
