AllDates,PRC,Pseudo-PRC
2004-01-02,66.79,66.79
2004-01-05,67.82,67.82
2004-01-06,67.66,67.66
2004-01-07,68.49,68.49
2004-01-08,69.09,69.09
2004-01-09,69.13,69.13
2004-01-12,70.5,70.5
2004-01-13,69.49,69.49
2004-01-14,69.61,69.61
2004-01-15,69.55,69.55
2004-01-16,69.81,69.81
2004-01-20,69.1,69.1
2004-01-21,70.03,70.03
2004-01-22,69.61,69.61
2004-01-23,68.84,68.84
2004-01-26,69.63,69.63
2004-01-27,68.45,68.45
2004-01-28,68.1,68.1
2004-01-29,69.27,69.27
2004-01-30,69.45,69.45
2004-02-02,70.88,70.88
2004-02-03,70.74,70.74
2004-02-04,70.15,70.15
2004-02-05,71.33,71.33
2004-02-06,72.18,72.18
2004-02-09,71.83,71.83
2004-02-10,73.5,73.5
2004-02-11,74.35,74.35
2004-02-12,74.91,74.91
2004-02-13,74.72,74.72
2004-02-17,75.12,75.12
2004-02-18,74.36,74.36
2004-02-19,73.46,73.46
2004-02-20,73.64,73.64
2004-02-23,74.03,74.03
2004-02-24,73.8,73.8
2004-02-25,74.4,74.4
2004-02-26,74.42,74.42
2004-02-27,74,74
2004-03-01,74.09,74.09
2004-03-02,73.92,73.92
2004-03-03,74.7,74.77
2004-03-04,74.98,75.05
2004-03-05,74.28,74.34
2004-03-08,73.61,73.67
2004-03-09,73,73.06
2004-03-10,71.91,71.97
2004-03-11,70.85,70.91
2004-03-12,71.61,71.67
2004-03-15,70.06,70.12
2004-03-16,71.18,71.24
2004-03-17,73.01,73.07
2004-03-18,73.41,73.47
2004-03-19,72.1,72.16
2004-03-22,70.69,70.75
2004-03-23,70,70.06
2004-03-24,69.32,69.38
2004-03-25,70.41,70.47
2004-03-26,70.19,70.25
2004-03-29,71.56,71.62
2004-03-30,71.72,71.78
2004-03-31,71.35,71.41
2004-04-01,73.32,73.38
2004-04-02,74.3,74.36
2004-04-05,75.99,76.06
2004-04-06,75.82,75.89
2004-04-07,76.25,76.32
2004-04-08,76.27,76.34
2004-04-12,76.77,76.84
2004-04-13,75.35,75.42
2004-04-14,75.05,75.12
2004-04-15,74.68,74.74
2004-04-16,75.18,75.25
2004-04-19,74.98,75.05
2004-04-20,73,73.06
2004-04-21,73.2,73.26
2004-04-22,73.7,73.76
